LGA_CODE_2021,G01_Tot_P_M,G01_Tot_P_F,G01_Age_0_4_yr_M,G01_Age_0_4_yr_F,G01_Age_0_4_yr_P,G01_Age_5_14_yr_M,G01_Age_5_14_yr_F,G01_Age_5_14_yr_P,G01_Age_15_19_yr_M,G01_Age_15_19_yr_F,G01_Age_15_19_yr_P,G01_Age_20_24_yr_M,G01_Age_20_24_yr_F,G01_Age_20_24_yr_P,G01_Age_25_34_yr_M,G01_Age_25_34_yr_F,G01_Age_25_34_yr_P,G01_Age_35_44_yr_M,G01_Age_35_44_yr_F,G01_Age_35_44_yr_P,G01_Age_45_54_yr_M,G01_Age_45_54_yr_F,G01_Age_45_54_yr_P,G01_Age_55_64_yr_M,G01_Age_55_64_yr_F,G01_Age_55_64_yr_P,G01_Age_65_74_yr_M,G01_Age_65_74_yr_F,G01_Age_65_74_yr_P,G01_Age_75_84_yr_M,G01_Age_75_84_yr_F,G01_Age_75_84_yr_P,G01_Age_85ov_M,G01_Age_85ov_F,G01_Age_85ov_P,G01_Indigenous_P_Tot_M,G01_Indigenous_P_Tot_F,G06_P_Tot_Marrd_reg_marrge,G06_P_Tot_Married_de_facto,G06_P_Tot_Not_married,G29_CF_ChU15_a_Total_F,G29_CF_no_ChU15_a_Total_F
LGA26490,18604,19087,1158,1139,2301,2724,2413,5133,1065,1032,2093,838,718,1556,1756,1906,3662,2548,2829,5371,2521,2655,5178,2385,2555,4936,2302,2322,4628,1026,1070,2099,284,455,738,125,107,14191,3646,8918,3439,1264
LGA26610,10748,10652,650,648,1298,1377,1332,2704,616,503,1120,607,573,1180,1537,1535,3074,1342,1337,2672,1172,1164,2335,1476,1376,2852,1158,1093,2250,604,713,1321,213,385,597,459,508,7129,1618,6441,1493,594
LGA26670,3166,3059,150,134,278,353,330,684,164,133,294,98,99,199,245,237,484,297,325,625,381,387,772,569,543,1116,544,486,1031,276,257,533,87,131,217,51,65,2390,557,1472,398,172
LGA26700,14384,15425,738,796,1535,1893,1780,3670,904,878,1775,632,658,1291,1462,1580,3051,1575,1723,3303,1813,2045,3859,1964,2166,4135,1919,1940,3858,1107,1271,2379,372,578,952,276,282,10560,2572,8952,2062,942
LGA26730,17033,18369,970,858,1828,2274,2080,4352,1063,1045,2107,917,926,1835,2235,2271,4509,2035,2200,4233,2083,2356,4444,2115,2480,4592,1918,2160,4080,1041,1318,2362,387,680,1065,375,329,11920,3116,11348,2470,1185
LGA26810,22995,22653,1226,1169,2397,2771,2589,5358,1292,1228,2514,1174,1006,2180,2741,2431,5166,2643,2564,5206,2662,2905,5565,3291,3377,6671,3285,3150,6433,1488,1614,3105,418,622,1038,470,454,15506,4214,12864,3001,1365
LGA26890,2012,1997,110,129,238,219,210,428,84,79,162,86,50,139,182,178,358,192,201,393,246,267,513,358,333,693,328,288,621,151,169,319,52,91,141,21,27,1494,306,1080,258,105
LGA26980,81917,87430,4030,3753,7787,9699,9470,19164,5091,4897,9984,6700,6040,12736,11947,11683,23627,11230,12074,23300,10765,11911,22674,8897,9818,18721,6941,8316,15256,4557,6071,10629,2067,3405,5471,252,274,65139,10142,57157,14048,7581
LGA27070,113834,115556,8606,7910,16508,16564,15630,32198,6780,6342,13122,7557,6890,14445,17692,18182,35876,18630,18605,37234,13729,14122,27849,10754,11876,22630,8029,9163,17191,4183,4818,9006,1322,2014,3332,1097,1171,87437,13678,69102,22867,10017
LGA27170,21064,22183,1305,1396,2702,3035,2949,5982,1485,1312,2797,1362,1213,2574,2887,2959,5849,2576,2865,5438,2502,2694,5198,2388,2647,5034,2153,2336,4491,1045,1291,2334,326,519,846,699,781,13956,4110,12950,3374,1257
LGA27260,147444,144566,13464,12633,26099,24703,23321,48025,8356,7661,16018,9771,8262,18034,24543,26471,51014,29524,27561,57085,15991,15395,31385,10655,11359,22013,6936,7480,14415,2847,3220,6061,659,1189,1852,1248,1260,109753,16878,76726,35166,9114
LGA27350,43993,46125,1808,1833,3636,2930,2964,5894,1165,1393,2557,2938,3650,6582,13037,13879,26917,7903,7302,15204,5132,5088,10219,4277,4145,8427,2896,3301,6200,1423,1780,3199,473,790,1268,256,261,19138,16094,37161,4575,1678
LGA27450,77188,78878,4861,4444,9298,10242,9490,19732,4929,4531,9465,4499,4190,8692,9468,9659,19122,9875,10499,20374,10494,11027,21524,9845,10431,20271,7767,8593,16358,4135,4419,8550,1086,1590,2677,866,851,58270,15088,44838,13394,7190
LGA27630,3327,3232,161,120,284,401,339,736,186,161,347,143,103,241,295,294,589,277,301,580,348,393,740,590,539,1127,517,484,1001,293,326,616,125,168,297,59,52,2430,411,1990,369,166
LGA29399,496,463,13,10,21,34,31,62,23,39,61,80,91,168,151,104,258,61,55,121,58,49,105,35,38,77,34,23,56,8,6,16,0,0,3,0,4,87,43,171,16,11
LGA29499,5170,3915,222,189,414,370,361,730,234,229,459,345,321,671,939,878,1819,1008,730,1736,912,479,1393,644,429,1074,392,224,613,90,58,152,15,19,29,246,214,0,0,0,0,0
LGA29799,36,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,16,0,16,3,0,3,10,6,14,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA30250,526,572,46,47,87,86,90,175,48,57,101,48,45,90,95,98,192,62,76,142,77,84,156,50,48,105,20,19,44,0,4,5,0,0,0,462,519,44,260,421,72,23
LGA30300,2168,2149,140,151,297,284,287,566,141,116,252,120,143,262,274,276,551,207,262,468,306,290,598,323,284,604,234,200,435,106,109,214,41,35,74,434,447,1301,440,1159,306,130
LGA30370,7463,7051,476,477,950,1081,1024,2100,436,369,811,403,415,815,924,918,1846,1012,932,1941,952,874,1825,993,889,1880,704,577,1276,401,398,802,87,177,266,374,369,4842,1158,3300,1178,384
LGA30410,1438,1409,86,68,153,198,188,390,77,62,144,59,72,130,168,167,332,153,172,325,191,207,397,203,202,405,164,136,295,106,107,214,25,35,60,105,115,888,233,741,195,73
LGA30450,160,149,5,5,13,15,21,35,10,14,24,16,18,36,13,20,34,16,17,34,18,18,46,23,23,48,21,14,26,9,7,17,0,0,0,10,10,88,24,87,22,0
LGA30760,944,963,58,51,105,97,107,209,39,41,83,53,51,103,94,105,201,83,108,196,109,110,220,143,160,302,148,127,271,89,64,161,28,26,56,52,53,711,166,455,122,52
LGA30900,227,229,20,20,42,26,35,65,17,7,20,12,17,32,38,37,73,24,25,51,31,28,49,32,24,59,24,21,50,6,8,14,0,0,0,71,65,100,37,112,31,7
LGA31000,611598,631221,35033,32968,67996,76058,72549,148610,37761,36512,74274,48415,49046,97456,102762,104041,206806,93465,96095,189563,80204,83185,163389,61956,65011,126972,44117,48858,92972,23678,28612,52286,8146,14350,22497,11428,11515,415280,118624,405425,103394,42478
LGA31750,190,147,9,11,19,18,21,36,11,10,20,15,12,25,31,19,52,33,22,54,14,13,31,34,22,54,17,9,26,6,3,10,0,0,0,23,12,88,49,82,29,3
LGA31820,48796,50417,2308,2182,4492,6109,5641,11746,2917,2665,5585,2397,2357,4755,4928,5222,10151,4794,5284,10083,5836,6300,12132,7000,7523,14524,7091,7286,14379,4288,4377,8662,1142,1578,2720,2462,2499,34764,8298,30422,5892,2839
LGA31900,8487,8209,432,389,820,1031,914,1944,523,437,958,448,417,867,919,899,1814,868,883,1758,1079,1083,2155,1241,1171,2417,1143,1031,2176,624,662,1288,179,317,497,548,549,5982,1304,4607,1066,545
LGA31950,244,171,12,11,27,19,21,36,18,15,29,28,15,43,39,26,63,35,17,53,25,21,46,33,25,62,28,18,42,5,6,9,0,3,3,76,58,74,47,108,20,4
LGA32080,82335,84600,4651,4561,9215,11643,10990,22626,5274,5027,10303,4609,4571,9182,10533,11504,22037,10756,12102,22856,11569,12240,23805,10551,10541,21092,8065,7823,15888,3679,3797,7477,1017,1438,2457,7638,8514,47439,17486,50570,12136,4362
LGA32250,1104,982,79,62,144,150,152,300,70,41,107,86,88,173,160,134,293,109,129,233,145,124,270,162,140,299,90,86,179,51,33,85,8,6,11,430,438,363,266,623,122,24
LGA32260,14983,14173,817,719,1536,1885,1664,3548,812,698,1512,678,559,1235,1625,1584,3202,1524,1601,3124,1807,1869,3675,2374,2262,4636,2107,1821,3927,1032,978,2009,318,417,738,1565,1643,9430,2654,8574,1814,751
LGA32270,14529,13306,995,1029,2024,2263,2203,4465,890,767,1656,941,827,1770,2165,2031,4196,2108,2039,4151,1939,1673,3612,1783,1486,3272,966,767,1734,399,378,772,83,108,190,799,840,8270,2790,6305,2505,665
LGA32310,5872,5922,275,260,539,900,867,1772,450,434,886,270,272,537,594,580,1174,587,718,1306,742,774,1520,758,786,1544,756,717,1473,427,363,793,115,141,258,529,608,3294,885,3198,670,277
LGA32330,578,614,63,55,114,163,145,305,63,46,115,38,57,91,60,101,161,51,72,126,54,58,120,56,46,106,15,19,33,5,7,16,3,4,5,554,598,55,153,483,61,19
LGA32450,2062,1580,121,138,262,248,202,447,110,89,201,164,127,291,360,267,623,318,232,553,266,193,459,261,180,440,142,97,241,57,45,99,5,17,25,439,427,683,382,841,230,55
LGA32500,2422,2093,120,118,240,276,266,544,99,107,202,107,102,212,333,282,619,288,279,560,322,283,603,391,340,728,327,229,555,147,78,229,5,13,24,479,476,920,549,1240,253,73
LGA32600,139,126,6,11,17,12,21,32,4,11,12,3,11,11,36,18,53,21,19,34,22,18,39,18,15,31,17,9,19,0,3,9,0,0,0,35,41,58,20,80,23,3
LGA32750,141,120,3,3,10,12,13,24,6,9,14,13,13,24,24,23,46,22,19,38,25,17,38,23,19,45,12,13,24,0,0,4,0,0,0,27,24,40,34,62,11,6
LGA32770,695,690,76,73,150,152,133,283,76,57,132,61,69,129,118,127,244,74,89,159,71,72,137,45,65,109,20,12,34,5,4,6,0,0,4,618,615,115,296,445,128,23
LGA32810,6267,6069,267,269,531,663,653,1309,292,257,548,265,234,503,749,806,1551,694,794,1489,916,858,1777,1039,1002,2040,892,758,1649,407,343,744,92,89,184,495,544,3433,1564,3396,699,273
LGA33100,384,333,21,21,42,39,37,71,10,15,30,21,22,38,40,44,83,36,43,74,57,41,102,53,52,105,64,42,102,34,21,55,0,7,7,27,24,203,71,168,46,13
LGA33200,734,764,60,52,115,82,89,168,34,29,63,45,41,89,96,119,213,74,56,131,87,117,205,105,99,200,90,81,177,56,54,113,13,25,31,82,81,448,115,371,97,29
LGA33220,54340,56697,2251,2158,4411,6375,6014,12390,2982,2772,5752,2378,2114,4498,4662,4745,9408,4998,5594,10591,6279,6956,13238,8044,9232,17277,9671,9804,19470,5383,5395,10778,1316,1908,3229,2905,2742,39973,9346,33921,5992,3008
LGA33360,32221,31301,2054,1999,4049,4892,4709,9596,2028,1975,4001,1616,1547,3159,3800,4038,7833,4111,4236,8345,4590,4474,9062,4574,4104,8678,3085,2634,5715,1181,1205,2390,293,387,679,1947,1999,20252,6474,16990,5242,1773
LGA33430,303424,321659,17328,16166,33491,39221,37218,76443,18469,17897,36369,19132,20200,39338,41573,44852,86422,40799,44141,84945,40441,43474,83918,34798,38380,73182,29441,32777,62219,17149,18811,35953,5074,7737,12805,6669,6919,205071,63356,196804,47857,21111
LGA33610,5165,5144,340,361,699,734,719,1459,284,273,551,271,259,537,591,615,1209,561,658,1220,637,617,1253,720,651,1374,588,513,1105,327,339,666,107,135,241,376,421,3443,839,2621,821,241
LGA33620,26410,26833,1259,1195,2455,3291,3074,6362,1624,1455,3078,1110,1046,2151,2406,2519,4924,2562,2915,5471,3306,3574,6886,4084,4370,8458,4143,3957,8105,2111,2040,4151,512,689,1204,1152,1177,18681,4820,15888,3245,1590
LGA33800,5559,5365,238,208,441,617,583,1197,283,260,546,255,216,469,497,457,956,480,494,970,658,672,1336,954,870,1822,876,804,1680,508,538,1043,199,260,454,381,371,4142,816,3058,587,339
LGA33830,505,472,52,58,103,114,77,189,37,39,69,35,43,79,74,89,162,62,55,121,71,50,123,32,35,69,22,16,41,0,11,13,3,3,6,455,408,61,188,346,79,6
LGA33960,113229,115979,8948,8320,17265,18740,17640,36381,7639,7451,15085,7809,7702,15512,17050,18366,35410,16249,16704,32952,13537,14121,27656,11120,11626,22741,7527,8114,15637,3639,4344,7982,978,1603,2575,6187,6318,68531,22424,69248,20111,6932
LGA33980,12383,9663,840,741,1585,1660,1448,3106,583,491,1074,824,684,1506,2270,1869,4142,2049,1573,3617,1848,1253,3101,1452,961,2413,618,398,1017,209,173,379,45,60,100,612,555,5521,2062,4046,1828,434
LGA34420,519,554,44,44,90,101,90,190,42,51,97,48,48,90,90,96,184,42,61,103,88,82,169,41,48,85,31,25,49,0,9,12,0,0,0,449,485,43,221,414,67,15
LGA34530,20256,19139,1043,929,1976,2766,2397,5161,1308,1109,2416,961,830,1785,2181,1981,4162,2451,2345,4802,2601,2611,5213,2980,2961,5945,2441,2312,4751,1203,1226,2434,321,435,753,1252,873,13853,3355,9725,2864,1247
LGA34570,335,304,28,22,50,79,43,119,34,33,67,25,22,47,43,54,98,44,28,71,44,39,82,22,29,52,12,22,31,5,6,12,0,6,6,261,244,16,139,229,41,0
LGA34580,20384,20714,1209,1089,2298,2947,2573,5529,1323,1375,2699,1166,1286,2450,2472,2678,5150,2315,2661,4979,2632,2740,5371,2719,2713,5430,2190,2112,4305,1149,1094,2239,273,390,660,1010,1080,13880,3450,12269,3052,1316
LGA34590,170313,174777,12676,12259,24941,26920,25684,52604,12029,11135,23169,11596,11256,22856,24298,25600,49902,23024,24081,47099,20842,21757,42596,17467,18557,36024,13314,14706,28018,6571,7205,13776,1576,2541,4118,7021,7502,107518,30724,105838,28786,11878
LGA34710,1806,1848,112,87,195,259,232,490,92,88,183,105,119,221,214,249,466,208,254,464,206,236,437,284,267,545,210,179,385,80,83,163,45,48,88,113,109,1041,329,965,233,95
LGA34770,61201,60494,3864,3639,7499,8698,8300,16996,3810,3598,7413,3521,3432,6950,7621,8020,15641,8048,8153,16204,8274,8121,16395,8209,7814,16026,5683,5322,11007,2679,2893,5576,790,1184,1979,3756,3754,39109,11699,32014,9716,3897
LGA34800,452,380,38,32,65,43,34,78,14,35,42,37,33,72,87,66,150,71,54,125,51,35,83,74,48,124,30,35,60,22,12,26,0,5,5,19,24,195,68,174,61,17
LGA34830,215,216,25,28,48,35,47,76,16,16,31,26,13,41,31,45,73,25,24,48,20,14,33,20,19,41,18,18,29,3,0,7,0,0,0,164,180,29,75,139,31,7
LGA34860,6397,6424,450,395,849,940,925,1868,381,334,712,399,393,785,783,837,1619,747,853,1601,813,840,1653,856,808,1660,635,553,1191,309,340,654,73,155,229,626,624,3925,1206,3141,1031,332
LGA34880,12086,10772,601,512,1116,1398,1328,2725,704,552,1256,651,450,1106,1602,1252,2853,1464,1217,2685,1594,1541,3139,1652,1618,3268,1383,1275,2655,815,780,1596,226,238,470,2041,1226,6641,2184,6443,1347,624
LGA35010,232832,243506,14649,13712,28365,34102,31987,66084,15383,14641,30026,13965,13295,27256,28396,30120,58511,30007,32645,62658,30768,32848,63615,26405,29121,55529,23164,25907,49072,12656,14065,26718,3343,5162,8506,9187,9431,166787,43514,141013,38817,16944
LGA35250,494,530,27,31,62,89,94,183,46,55,105,46,41,86,63,84,145,65,90,155,71,54,128,44,43,96,21,15,36,14,10,24,0,6,0,389,430,55,201,368,67,18
LGA35300,9653,9072,846,695,1542,1451,1394,2844,647,562,1202,693,677,1371,1649,1698,3348,1323,1341,2663,1161,1114,2277,1085,868,1955,501,436,939,243,229,473,50,65,114,1933,2086,4483,2310,5309,1573,403
LGA35600,1913,2056,107,119,225,234,243,469,101,81,188,95,108,203,249,283,534,172,231,400,219,273,496,346,338,679,252,193,451,92,116,209,44,71,111,224,232,1170,351,1120,248,90
LGA35670,439,447,38,36,73,89,89,174,45,44,91,36,39,70,54,65,118,66,52,114,44,62,104,40,44,86,22,24,40,0,8,7,0,0,0,351,367,28,175,306,64,18
LGA35740,27341,28958,1046,968,2010,3267,3071,6338,1593,1446,3039,1029,902,1939,2044,2076,4121,2761,3228,5983,3852,4307,8163,4181,4905,9091,4412,4571,8980,2514,2513,5032,646,969,1611,505,427,21650,5273,15831,3677,1825
LGA35760,5094,4967,227,237,466,598,529,1125,265,261,523,210,247,458,467,502,965,500,481,981,618,684,1305,807,725,1533,789,718,1510,486,428,915,126,163,291,332,374,3423,807,2874,575,256
LGA35780,1353,1429,170,144,316,324,334,653,115,113,227,110,133,245,187,238,422,139,154,294,120,142,258,112,124,232,59,44,102,12,9,23,0,4,3,1095,1193,250,464,803,224,36
LGA35790,1009,1092,107,105,212,203,237,444,84,73,158,83,100,176,151,173,318,99,130,226,133,117,243,107,101,203,45,47,91,9,10,19,0,0,0,925,994,82,367,813,127,35
LGA35800,831,850,62,72,133,113,112,228,30,36,70,37,35,72,93,104,196,89,69,160,110,108,214,122,145,270,102,97,197,64,43,110,14,24,33,276,326,449,183,536,117,19
LGA36070,312,304,21,29,45,53,35,90,24,21,50,24,21,39,33,47,81,38,58,98,56,49,104,30,28,59,13,14,32,9,4,9,0,0,0,229,245,44,135,230,49,5
LGA36150,356,345,20,32,53,54,33,86,13,12,24,22,13,31,41,60,103,38,36,70,52,55,105,64,59,125,35,28,64,15,9,28,6,8,13,42,44,214,91,159,65,17
LGA36250,77727,81498,4193,3990,8182,10499,9695,20201,5284,4822,10104,4389,3793,8185,7799,8289,16086,9328,10219,19550,10332,11445,21779,10419,11433,21854,9086,9969,19053,4929,5521,10448,1478,2316,3799,2288,2366,61786,13356,46370,12650,6798
LGA36300,392,374,22,31,53,53,50,102,16,11,21,26,19,43,55,67,126,42,39,83,47,38,85,58,57,117,42,30,75,22,15,34,0,5,6,29,25,224,79,142,53,24
LGA36370,40486,41482,2618,2427,5048,5837,5758,11590,2787,2575,5360,2591,2620,5207,5463,5680,11142,5166,5233,10406,4754,4962,9715,4852,5007,9863,3774,3737,7504,1953,2399,4352,701,1079,1776,3411,3691,24054,7135,25240,6020,2294
LGA36510,21266,21719,1042,1028,2072,2839,2639,5480,1325,1296,2617,885,831,1714,1893,1974,3864,2379,2589,4968,2962,3158,6120,3133,3291,6429,2881,2844,5718,1526,1503,3029,414,553,971,768,809,16159,3643,11806,3022,1538
LGA36580,12650,12410,625,584,1207,1732,1659,3391,758,750,1507,573,474,1047,1194,1247,2442,1452,1450,2897,1652,1769,3418,1869,1896,3767,1782,1601,3387,866,772,1639,150,201,351,547,624,9050,2105,7226,1744,814
LGA36630,16493,16495,846,757,1604,2121,1896,4019,973,877,1851,763,763,1534,1571,1617,3187,1501,1633,3137,1944,2097,4038,2381,2533,4915,2600,2556,5156,1436,1302,2732,347,468,820,1012,1031,10957,2637,9988,1838,884
LGA36660,17856,18435,888,781,1668,2343,2228,4566,1037,1022,2051,873,731,1603,1709,1755,3462,1639,1852,3492,2110,2367,4476,2587,2827,5415,2738,2741,5478,1514,1555,3068,417,591,1004,949,1018,12930,2847,10488,2158,1051
LGA36720,164669,177877,8740,8197,16934,21842,20717,42558,10171,9912,20081,8439,8865,17308,18020,19786,37804,20069,22315,42382,21881,24093,45977,20973,24214,45184,19436,21646,41086,11364,12804,24171,3728,5333,9058,4099,4225,124491,31466,99023,25807,11201
LGA36820,12951,13289,569,502,1067,1759,1625,3381,791,738,1533,480,444,926,1135,1203,2335,1166,1409,2576,1597,1767,3369,1992,2142,4132,2057,2006,4063,1097,1052,2153,306,405,715,1008,1052,8628,2353,7568,1510,673
LGA36910,83825,89379,5158,5039,10200,12100,11603,23703,5833,5578,11405,5261,5236,10493,10612,11235,21846,9741,10610,20352,9957,10937,20894,9786,10783,20570,8581,9517,18096,5149,6110,11264,1657,2725,4381,4154,4521,60155,12900,50621,12934,4919
LGA36950,1710,1715,128,133,263,352,289,640,137,136,275,134,122,254,249,270,518,202,259,459,196,204,402,172,180,358,96,87,187,30,28,62,3,9,10,1153,1208,499,514,1071,272,62
LGA36960,2044,2078,223,227,450,459,416,879,151,121,273,137,160,288,289,354,644,257,263,525,219,195,417,180,184,360,98,106,205,29,39,65,6,9,9,1850,1885,469,651,1252,334,72
LGA37010,96211,96560,5893,5302,11196,13260,12511,25779,6376,6486,12858,7942,7058,15003,14132,13764,27901,12244,12952,25201,12163,12649,24814,11083,11431,22520,8261,8336,16591,3889,4377,8268,964,1683,2647,8048,8220,56070,20194,57835,14285,5481
LGA37300,2161,1938,213,170,381,361,309,674,126,114,240,152,158,312,406,381,797,310,320,636,303,265,572,211,153,364,51,38,91,15,15,31,5,6,10,427,385,989,670,810,433,93
LGA37310,17162,16679,1156,1061,2219,2582,2447,5029,1094,951,2045,985,929,1918,2196,2210,4404,1939,2023,3963,2151,2155,4304,2154,2022,4175,1788,1548,3338,882,944,1827,238,383,625,1254,1336,10498,2856,8882,2530,824
LGA37340,19124,18031,996,898,1893,2347,2140,4484,984,930,1917,1029,1061,2087,2715,2739,5457,2440,2362,4803,2635,2453,5081,2685,2486,5170,2129,1838,3967,966,820,1789,201,305,503,1048,1104,10234,3885,9375,2466,808
LGA37400,547,580,28,39,65,63,61,122,25,16,39,20,35,53,57,64,122,64,75,143,65,91,157,88,90,177,82,58,146,47,38,87,9,9,19,37,42,314,115,277,75,22
LGA37550,475,545,71,54,123,123,114,234,46,57,103,28,45,71,63,104,172,42,55,98,47,59,108,30,33,69,19,21,36,0,10,8,0,0,0,428,507,44,94,438,46,3
LGA37570,128,154,9,15,24,21,29,52,11,4,13,5,8,14,23,34,53,17,18,29,19,17,35,16,17,36,5,5,10,3,5,8,0,0,0,115,140,13,62,118,26,5
LGA37600,1220,1286,122,113,232,263,252,515,128,137,267,116,96,212,189,207,393,132,148,277,119,132,253,94,120,213,41,53,92,12,25,31,0,0,5,1161,1235,252,333,1045,156,67
LGA39499,7861,6807,277,229,504,478,457,932,272,291,566,444,493,934,1301,1345,2649,1194,885,2077,1042,887,1929,1297,1170,2468,1253,870,2124,283,160,444,23,25,44,652,533,0,0,0,0,0
LGA39799,149,28,0,0,0,0,0,0,0,0,0,4,9,16,37,13,49,55,7,64,42,0,45,3,4,5,3,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0
LGA40070,12770,12259,257,242,503,500,457,954,589,815,1410,2239,2308,4551,3217,2877,6094,1720,1442,3161,1276,1004,2282,1182,1099,2284,1105,1133,2239,538,606,1140,150,272,425,192,149,5032,3002,10221,690,280
LGA40120,20276,20603,1016,959,1978,2694,2678,5370,1398,1340,2743,1077,973,2051,1707,1756,3461,2300,2556,4858,2998,3124,6128,3053,3032,6085,2510,2543,5053,1208,1181,2391,318,447,768,138,151,17018,3471,10086,3480,2015
LGA40150,5136,4702,313,250,564,694,588,1284,344,296,637,280,246,521,627,627,1253,620,582,1203,742,729,1474,795,690,1488,476,434,912,213,200,405,47,53,98,129,125,3427,1055,2747,794,460
LGA40220,14024,14707,592,527,1120,1478,1462,2939,733,694,1428,519,525,1043,1070,1152,2224,1251,1369,2624,1735,1742,3470,2104,2364,4470,2564,2775,5343,1569,1565,3130,412,535,941,245,222,11492,2550,7898,1687,917
LGA40250,1067,1264,88,109,197,170,185,362,116,104,213,104,119,225,208,263,477,133,174,302,126,148,269,84,107,187,31,37,62,12,15,24,9,11,17,967,1092,594,165,846,201,40
LGA40310,12354,12710,591,593,1182,1664,1549,3210,769,693,1468,600,514,1116,1174,1156,2332,1432,1575,3007,1667,1784,3455,1743,1861,3609,1595,1667,3258,852,903,1760,258,411,671,151,164,10059,2180,6601,1921,985
LGA40430,1328,1287,58,54,115,133,127,257,46,39,89,42,33,77,86,90,182,93,96,184,145,154,296,240,232,474,276,246,529,150,151,309,43,67,107,29,31,1072,170,683,140,73
LGA40520,5214,5267,212,231,444,631,588,1219,333,284,619,307,244,550,580,559,1136,548,570,1116,655,680,1334,722,773,1497,740,721,1463,340,406,748,147,212,358,263,267,3421,1011,3463,611,318
LGA40700,21989,24048,960,871,1830,2977,2944,5920,1602,1576,3175,1315,1234,2550,2061,2133,4192,2623,3014,5638,2984,3244,6223,2685,3037,5725,2535,3007,5543,1670,1957,3628,575,1036,1609,99,91,19377,2499,13889,3895,2221
LGA40910,26601,28201,1401,1340,2736,3235,2927,6163,1550,1351,2903,1853,1705,3559,3741,3789,7522,3623,3809,7439,3419,3569,6988,2983,3326,6305,2273,2878,5151,1749,2354,4101,769,1160,1929,196,248,21574,3296,18370,4464,2468
LGA41010,1778,1730,103,130,234,242,233,480,103,73,178,99,82,180,241,230,470,177,203,378,247,226,472,234,234,471,209,198,406,105,86,192,24,28,53,405,463,968,495,984,254,87
LGA41060,59404,62438,3154,3112,6264,6254,5932,12188,3154,2844,5994,3991,3898,7891,9188,9229,18414,7767,8053,15820,7726,8018,15751,7533,7997,15528,5754,6759,12512,3457,4294,7749,1433,2306,3732,976,1027,42269,10448,43070,8632,4895
LGA41140,4531,4660,220,224,444,553,532,1082,228,234,457,198,184,381,445,437,888,434,517,947,563,623,1189,726,718,1444,687,667,1354,352,386,741,115,142,260,91,92,3477,829,2417,615,253
LGA41190,906,839,61,47,106,119,118,235,50,26,75,35,30,62,88,94,188,89,80,172,102,114,211,165,127,285,120,107,222,60,68,127,21,37,58,4,9,662,127,392,135,46
LGA41330,895,672,31,34,67,70,54,122,33,35,73,29,20,48,99,118,216,93,71,168,104,89,194,146,87,232,140,113,246,126,48,171,23,9,29,115,123,281,149,609,65,19
LGA41560,7453,7598,307,322,626,786,712,1494,364,291,659,279,275,556,628,639,1264,659,699,1353,815,899,1708,1196,1272,2468,1408,1376,2787,796,806,1599,206,314,527,243,280,5536,1295,4373,762,363
LGA41750,544,474,33,31,63,80,62,145,31,19,47,18,15,33,48,57,112,57,59,118,56,54,109,105,93,192,75,58,127,28,27,56,9,9,20,24,20,327,95,225,79,16
LGA41830,810,836,49,42,95,71,71,143,29,36,66,25,33,65,77,84,165,71,69,144,92,103,191,139,138,276,155,157,308,73,75,149,24,26,52,89,123,507,139,473,83,38
LGA41960,675,618,26,23,48,95,64,156,27,24,50,19,18,40,64,59,122,64,64,123,82,81,166,104,107,212,129,115,243,55,51,103,13,18,35,21,13,476,128,270,70,35
LGA42030,12073,12916,698,649,1347,1543,1484,3026,743,670,1414,781,719,1503,1545,1580,3129,1370,1472,2845,1420,1591,3010,1586,1781,3368,1259,1404,2667,795,1059,1852,331,497,831,332,326,8189,2229,8432,1675,830
LGA42110,2057,2003,101,70,170,222,241,466,110,109,219,67,69,141,175,171,347,184,183,374,248,245,494,382,365,745,345,316,664,170,167,334,43,64,107,50,57,1461,354,1142,257,121
LGA42250,4752,3881,179,210,386,557,520,1075,272,245,513,229,168,394,464,311,780,651,482,1131,735,590,1318,753,618,1373,624,461,1093,238,203,438,54,78,133,156,78,3279,656,1741,634,308
LGA42600,17917,19619,705,713,1412,1834,1685,3521,998,958,1954,966,970,1933,1955,2024,3979,2106,2295,4400,2295,2477,4769,2563,2905,5466,2578,2871,5444,1410,1697,3105,513,1034,1548,165,156,13946,3093,12264,2412,1341
LGA42750,2527,2363,133,122,255,287,241,526,105,83,191,93,78,169,237,247,480,245,243,488,293,305,603,448,408,851,420,389,804,217,187,403,61,61,119,54,27,1627,535,1191,309,82
LGA43080,541,463,28,18,42,59,57,115,36,15,50,26,15,43,45,50,95,44,42,90,79,53,134,88,79,177,88,68,151,36,34,75,13,27,41,12,9,366,57,295,67,29
LGA43220,536,494,32,15,46,92,81,173,20,17,37,27,19,43,45,63,111,80,54,135,48,59,113,86,69,152,64,49,116,46,38,82,14,26,39,5,3,416,53,186,86,22
LGA43360,1178,1154,47,54,102,119,106,221,56,46,99,57,46,100,101,102,202,117,109,225,129,124,251,177,194,369,233,210,444,111,124,236,41,44,86,32,26,875,228,599,139,57
LGA43650,7941,7850,446,389,834,1238,1101,2344,602,552,1149,441,486,924,775,802,1584,881,1025,1907,1128,1171,2297,1185,1113,2292,819,732,1550,331,365,697,98,115,211,114,115,6084,1330,4020,1340,730
