LGA_CODE_2021,G01_Tot_P_M,G01_Tot_P_F,G01_Age_0_4_yr_M,G01_Age_0_4_yr_F,G01_Age_0_4_yr_P,G01_Age_5_14_yr_M,G01_Age_5_14_yr_F,G01_Age_5_14_yr_P,G01_Age_15_19_yr_M,G01_Age_15_19_yr_F,G01_Age_15_19_yr_P,G01_Age_20_24_yr_M,G01_Age_20_24_yr_F,G01_Age_20_24_yr_P,G01_Age_25_34_yr_M,G01_Age_25_34_yr_F,G01_Age_25_34_yr_P,G01_Age_35_44_yr_M,G01_Age_35_44_yr_F,G01_Age_35_44_yr_P,G01_Age_45_54_yr_M,G01_Age_45_54_yr_F,G01_Age_45_54_yr_P,G01_Age_55_64_yr_M,G01_Age_55_64_yr_F,G01_Age_55_64_yr_P,G01_Age_65_74_yr_M,G01_Age_65_74_yr_F,G01_Age_65_74_yr_P,G01_Age_75_84_yr_M,G01_Age_75_84_yr_F,G01_Age_75_84_yr_P,G01_Age_85ov_M,G01_Age_85ov_F,G01_Age_85ov_P,G01_Indigenous_P_Tot_M,G01_Indigenous_P_Tot_F,G06_P_Tot_Marrd_reg_marrge,G06_P_Tot_Married_de_facto,G06_P_Tot_Not_married,G29_CF_ChU15_a_Total_F,G29_CF_no_ChU15_a_Total_F
LGA12700,4761,4781,260,257,509,636,622,1257,267,258,525,204,190,394,421,442,864,552,572,1120,599,648,1242,761,767,1529,643,610,1254,345,315,658,68,112,184,355,332,3767,909,2500,743,375
LGA12730,4170,4286,240,206,444,554,483,1037,227,248,480,199,201,398,418,450,868,402,440,846,493,532,1022,603,653,1262,605,533,1136,306,365,676,115,175,286,190,220,2755,809,2422,551,218
LGA12750,19892,20696,850,797,1648,2038,1932,3971,1017,882,1898,714,629,1342,1539,1629,3172,1708,1837,3547,2279,2479,4767,3279,3652,6929,3925,3899,7823,1956,2043,4000,580,915,1498,1218,1249,14695,3950,11904,2023,1046
LGA12850,102874,105605,5526,5331,10848,13666,12725,26395,7490,6950,14439,7501,7184,14686,13712,13336,27047,11803,13160,24959,13029,14164,27188,13804,14137,27942,9783,10596,20373,4810,5346,10159,1756,2690,4440,729,799,72078,6704,80450,14489,12112
LGA12870,6429,6471,303,288,599,746,679,1423,332,327,659,286,249,534,561,574,1135,550,604,1153,757,771,1525,966,985,1956,1100,1068,2169,614,670,1284,208,264,468,156,147,4645,1218,3644,796,349
LGA12900,4597,4716,260,287,548,634,664,1302,283,260,539,257,221,482,472,523,1003,490,514,1003,516,556,1074,611,604,1217,586,541,1126,371,377,748,112,174,284,594,642,3069,760,2653,632,233
LGA12930,75024,77250,4018,3617,7632,8560,8073,16631,4141,3870,8009,6126,5462,11587,12136,11531,23667,10081,10599,20681,9026,10033,19057,8992,9656,18651,6578,7319,13895,3762,4469,8224,1616,2610,4229,482,554,60208,7482,52489,12138,7784
LGA12950,2122,2174,138,128,258,288,273,563,101,120,219,81,82,160,220,226,444,191,244,435,265,267,531,320,330,650,297,261,555,171,179,353,55,72,129,317,300,1425,291,1181,262,101
LGA13010,4409,4518,209,186,385,483,496,976,236,255,493,190,169,355,434,414,849,410,430,840,516,559,1074,710,699,1416,684,691,1375,425,433,855,109,188,303,339,338,2848,759,2792,453,208
LGA13310,16141,15909,953,876,1829,2042,1910,3953,956,822,1775,940,762,1698,2104,1995,4097,1867,1870,3740,1990,1993,3987,2165,2115,4284,1804,1935,3744,1001,1114,2121,315,508,825,833,787,10357,2853,9677,2205,955
LGA13340,5657,5492,330,325,653,845,751,1591,421,371,797,227,203,433,457,475,934,584,676,1253,664,709,1376,844,818,1669,784,698,1486,406,339,743,89,134,229,194,183,4095,802,2836,813,378
LGA13450,13591,13494,885,862,1746,1799,1712,3514,914,802,1709,821,744,1560,2023,1992,4019,1734,1665,3396,1701,1730,3433,1641,1577,3221,1155,1210,2369,667,768,1431,258,429,689,700,736,9650,1822,7966,2134,1017
LGA13550,6438,6495,497,449,949,1000,944,1943,344,330,681,368,318,689,849,892,1747,720,783,1509,675,717,1394,798,773,1575,665,603,1264,374,475,851,133,207,332,1013,1008,4023,1240,3527,1019,353
LGA13660,2447,2465,103,120,225,339,303,638,92,123,211,96,71,169,199,196,393,250,246,501,291,324,616,387,373,758,376,369,742,240,233,477,66,105,173,160,177,1805,320,1322,311,125
LGA13800,33461,33755,2140,2008,4152,4528,4175,8699,2276,2117,4391,2223,2024,4245,4435,4402,8834,3895,4020,7916,4431,4746,9184,4318,4338,8650,3099,3261,6361,1667,1890,3560,454,766,1215,1653,1608,24640,5729,19949,5495,3140
LGA13850,1448,1436,77,86,167,156,143,298,64,80,139,90,81,168,172,139,314,123,138,259,171,161,333,264,261,522,166,162,331,112,143,255,45,45,90,140,101,925,240,837,163,86
LGA13910,9469,9787,604,529,1128,1287,1226,2512,566,556,1123,414,467,882,943,1022,1969,931,1050,1979,1113,1176,2293,1368,1373,2747,1281,1307,2587,746,757,1504,215,328,541,482,496,6547,1579,5588,1305,535
LGA14000,74360,77455,3932,3673,7607,11060,10188,21251,5084,4682,9774,4377,3971,8346,7024,7379,14405,10627,11612,22239,10659,11339,22004,9087,9646,18731,6751,7485,14233,4123,4785,8902,1628,2700,4327,459,401,67413,6808,41884,15076,8358
