LGA_CODE_2021,Gender,Gender Value,Age - Male,Age - Male Value,Age - Female,Age - Female Value,Age - Person,Age - Person Value,Indigenous Gender,Indigenous Gender Value,Relationship Type,Relationship Type Value,Couple Family Kids Y N,Couple Family Kids Y N Value
LGA26700,Female,15425.0,,,,,,,,,,,,
LGA26730,Female,18369.0,,,,,,,,,,,,
LGA26810,Female,22653.0,,,,,,,,,,,,
LGA26890,Female,1997.0,,,,,,,,,,,,
LGA26980,Female,87430.0,,,,,,,,,,,,
LGA27070,Female,115556.0,,,,,,,,,,,,
LGA27170,Female,22183.0,,,,,,,,,,,,
LGA27260,Female,144566.0,,,,,,,,,,,,
LGA27350,Female,46125.0,,,,,,,,,,,,
LGA27450,Female,78878.0,,,,,,,,,,,,
LGA27630,Female,3232.0,,,,,,,,,,,,
LGA29399,Female,463.0,,,,,,,,,,,,
LGA29499,Female,3915.0,,,,,,,,,,,,
LGA29799,Female,6.0,,,,,,,,,,,,
LGA30250,Female,572.0,,,,,,,,,,,,
LGA30300,Female,2149.0,,,,,,,,,,,,
LGA30370,Female,7051.0,,,,,,,,,,,,
LGA30410,Female,1409.0,,,,,,,,,,,,
LGA30450,Female,149.0,,,,,,,,,,,,
LGA30760,Female,963.0,,,,,,,,,,,,
LGA30900,Female,229.0,,,,,,,,,,,,
LGA31000,Female,631221.0,,,,,,,,,,,,
LGA31750,Female,147.0,,,,,,,,,,,,
LGA31820,Female,50417.0,,,,,,,,,,,,
LGA31900,Female,8209.0,,,,,,,,,,,,
LGA31950,Female,171.0,,,,,,,,,,,,
LGA32080,Female,84600.0,,,,,,,,,,,,
LGA32250,Female,982.0,,,,,,,,,,,,
LGA32260,Female,14173.0,,,,,,,,,,,,
LGA32270,Female,13306.0,,,,,,,,,,,,
LGA32310,Female,5922.0,,,,,,,,,,,,
LGA32330,Female,614.0,,,,,,,,,,,,
LGA32450,Female,1580.0,,,,,,,,,,,,
LGA32500,Female,2093.0,,,,,,,,,,,,
LGA32600,Female,126.0,,,,,,,,,,,,
